student_efficacy,student_joy,student_broad_interest,student_epistemic_beliefs,student_instrumental_motivation,student_value_cooperation,student_enjoy_cooperation,student_environmental_awareness,parent_views_science,parent_enviro_concern,teacher_directed,teacher_inquiry_based,teacher_choice_support,teacher_perceived_feedback,teacher_adaptation_of_instruction,science_minutes_week,out_of_schools_study_hours,overall_science_ach,explain_scientifically,do_inquiry,interpret_data,teacher_extra_help,teacher_interest_learning,teacher_tells_performance,teacher_strengths,teacher_areas_improve,teacher_how_improve,students_investigation,teacher_explains_relevance,students_design,teacher_explains_application,students_draw_conclusions,students_argue,students_laboratory,students_explain_ideas,teacher_waits_quiet,teacher_noise_disorder,students_dont_listen,work_team,student_career,student_job,nervous,be_best,want_top_grades,ambitious,worry_grades,good_listener,ict_home,ict_interest,ict_competence,ict_autonomy,ict_out_sch,ict_out_leisure,disciplinary_climate
-1.0524,0.0992,2.4511,0.2674,-0.2552,0.8245,1.3264,-1.0281,NA,NA,0.4505,0.9195,1.4475,1.0606,1.0172,NA,NA,442.897,387.685,403.541,421.449,1,1,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,4,3,3,2,4,4,3,2,4,NA,NA,NA,NA,NA,NA,-2.4162
-0.5511,0.5094,0.5305,-0.1933,0.3708,0.6732,0.4252,0.6187,NA,NA,-2.4476,3.1829,-1.0718,0.5593,0.6524,225,20,385.674,366.918,334.764,400.022,3,3,2,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,4,4,4,2,3,NA,NA,NA,NA,NA,NA,0.2829
3.2775,2.1635,0.324,0.3082,-1.3892,-0.3735,1.0425,0.6009,NA,NA,0.9477,1.7946,0.8213,1.5346,0.9413,225,41,553.695,574.92,586.581,587.551,1,1,4,4,4,2,1,3,1,1,1,1,1,1,4,4,4,3,3,4,2,4,4,4,2,3,NA,NA,NA,NA,NA,NA,1.8837
-0.89,0.5094,0.3029,-0.1933,-0.7778,2.1017,0.0647,0.5065,NA,NA,1.4501,0.6153,1.4475,2.4994,2.0469,225,34,467.758,436.493,443.603,512.656,1,1,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,4,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,-2.4162
1.2181,-0.1704,0.1911,1.5636,-0.7778,-1.2265,0.8242,-0.0364,NA,NA,-1.1432,1.2021,0.5088,-1.5255,0.5984,225,12,712.955,723.058,662.988,744.289,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3,4,1,3,3,3,4,3,3,2,4,NA,NA,NA,NA,NA,NA,0.6
0.1878,0.5094,0.7697,0.7467,-0.5375,-1.039,2.2879,0.8981,NA,NA,-0.8671,-0.4965,-0.2651,2.4994,-0.3816,225,8,468.701,495.06,459.637,527.878,2,2,4,4,4,4,3,3,3,3,3,4,3,3,3,2,2,2,3,3,3,4,4,4,2,4,NA,NA,NA,NA,NA,NA,-0.5436
0.7614,2.1635,-0.0848,-0.1933,0.3708,0.0333,-0.2882,-0.3864,NA,NA,0.2564,0.4311,-0.1164,0.0134,-0.3816,225,14,457.962,462.759,488.239,459.829,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,3,3,3,2,2,3,4,4,4,3,3,NA,NA,NA,NA,NA,NA,0.0039
0.2901,-0.8512,-0.2093,-0.7033,-0.502,-0.3,0.9455,-0.804,NA,NA,-0.2044,0.043,-0.7447,1.1032,0.0437,225,NA,430.3,367.974,378.196,380.424,2,1,1,2,3,4,3,3,3,3,3,2,3,3,3,4,4,2,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,0.9781
0.3286,-0.3892,-0.679,-0.1933,-1.9301,0.9978,-0.9124,0.5766,NA,NA,-1.7704,-1.1474,-1.2217,0.2828,-1.9656,45,18,499.774,516.591,530.014,504.719,2,3,2,2,1,3,3,4,4,4,3,4,4,4,1,3,1,3,4,4,4,3,4,4,4,3,NA,NA,NA,NA,NA,NA,-1.1286
0.283,2.1635,0.9074,1.1342,-0.3275,-0.3735,0.4252,0.6061,NA,NA,0.6503,0.2818,0.3719,0.0449,0.687,225,11,629.75,587.157,584.784,629.711,1,1,2,1,2,2,3,1,4,1,1,4,2,3,3,3,4,3,3,3,1,4,4,3,2,3,NA,NA,NA,NA,NA,NA,0.8351
0.5083,0.5094,0.438,-0.1933,-0.2552,-1.039,-0.2882,3.2811,NA,NA,NA,NA,NA,NA,NA,0,25,527.878,555.525,540.669,540.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
